Point Id,,,,,,Easting,Northing,Elevation
DEFAULT23,,,,,,,,
219,,,,,,-4.2647,0.4626,8.7375
220,,,,,,-4.2505,0.0711,8.7314
221,,,,,,-4.2478,0.0711,7.6336
222,,,,,,-4.2497,0.0712,6.3716
223,,,,,,-4.2449,0.0712,5.0355
224,,,,,,-4.2355,0.0711,2.8981
225,,,,,,-4.229,0.0711,0.9073
226,,,,,,-4.2069,-1.449,0.7696
227,,,,,,-4.2145,-1.4516,2.2913
228,,,,,,-4.2232,-1.4547,3.9094
229,,,,,,-4.2324,-1.4579,5.7283
230,,,,,,-4.2295,-1.4569,7.3464
231,,,,,,-4.2336,-1.4585,8.6339
232,,,,,,-4.2372,-1.8915,8.8069
233,,,,,,-4.2292,-1.8878,7.0686
234,,,,,,-4.2286,-1.8875,5.7613
235,,,,,,-4.2227,-1.8847,4.2926
236,,,,,,-4.21,-1.879,2.2496
237,,,,,,-4.2002,-1.8745,0.6423
238,,,,,,-4.2046,-3.5778,8.7816
239,,,,,,-4.2028,-3.5762,7.1961
240,,,,,,-4.2056,-3.5786,5.5855
241,,,,,,-4.1979,-3.572,4.2213
242,,,,,,-4.195,-3.5695,2.3068
243,,,,,,-4.1909,-3.5678,2.7519
244,,,,,,-4.1861,-3.8234,2.3336
245,,,,,,-4.1917,-3.8283,3.6184
246,,,,,,-4.1983,-3.8342,4.8621
247,,,,,,-4.2027,-3.8383,6.6489
248,,,,,,-4.2041,-3.8395,7.7303
249,,,,,,-4.2086,-3.8441,8.8867
250,,,,,,-3.5655,3.3042,2.0782
251,,,,,,-3.566,3.3053,3.4991
252,,,,,,-3.5691,3.3073,5.1218
253,,,,,,-3.575,3.3129,6.6454
254,,,,,,-3.5808,3.3184,8.0251
255,,,,,,-3.5829,3.3199,8.664
256,,,,,,-3.5786,2.9167,8.6929
257,,,,,,-3.5732,2.9125,7.4005
258,,,,,,-3.5648,2.9057,5.7889
259,,,,,,-3.5647,2.9056,4.245
260,,,,,,-3.5613,2.9029,2.8113
261,,,,,,-3.5628,2.9043,0.8181
262,,,,,,-3.5365,1.4257,0.7619
263,,,,,,-3.5406,1.4274,2.1027
264,,,,,,-3.5431,1.4282,3.4674
265,,,,,,-3.5446,1.429,4.7274
266,,,,,,-3.5527,1.432,6.6736
267,,,,,,-3.5606,1.4351,8.7399
268,,,,,,-3.5597,0.9603,8.7706
269,,,,,,-3.5492,0.9576,7.139
270,,,,,,-3.5417,0.9555,5.7603
271,,,,,,-3.5377,0.9545,3.9352
272,,,,,,-3.5344,0.9537,2.1554
273,,,,,,-3.5279,0.9521,0.2937
274,,,,,,-3.5062,-0.4291,0.2468
275,,,,,,-3.5134,-0.4301,2.1578
276,,,,,,-3.523,-0.4313,3.5097
277,,,,,,-3.5294,-0.4321,5.34
278,,,,,,-3.5307,-0.4325,6.9085
279,,,,,,-3.5306,-0.4324,8.7075
280,,,,,,-3.5237,-0.9132,8.6429
281,,,,,,-3.5235,-0.9131,6.9148
282,,,,,,-3.5259,-0.9136,5.276
283,,,,,,-3.52,-0.912,3.548
284,,,,,,-3.5109,-0.9095,2.0386
285,,,,,,-3.505,-0.9079,0.2423
286,,,,,,-3.4834,-2.3551,0.223
287,,,,,,-3.4902,-2.36,2.0417
288,,,,,,-3.4937,-2.3623,3.3563
289,,,,,,-3.5021,-2.3681,4.9609
290,,,,,,-3.5057,-2.3707,6.4454
291,,,,,,-3.5115,-2.3747,8.4285
292,,,,,,-3.5069,-2.7902,8.5641
