Point Id	Easting	Northing	Elevation	Code	
DEFAULT22					
300	-2.3724	-4.2514	1.3815		
301	-2.9136	6.8976	0.0534		
302	-2.8890	5.6477	0.1523		
303	-2.8358	5.6247	0.0805		
304	-2.8200	4.1225	0.2225		
305	-2.7221	4.0951	0.0917		
306	-2.7459	2.1024	0.3686		
307	-2.5545	1.9788	0.1316		
308	-2.6876	0.4032	0.4574		
309	-2.3803	0.3571	0.0515		
310	-2.7127	0.2560	0.4992		
311	-2.7273	0.2584	0.5448		
312	-2.9738	0.3014	1.5280		
313	-3.0799	0.3290	1.9675		
314	-3.1008	2.0157	1.7058		
315	-2.9208	2.1235	0.9892		
316	-2.7763	2.0184	0.4379		
317	-3.1295	3.8060	1.4484		
318	-2.9868	3.7993	0.8731		
319	-2.8541	3.7869	0.3370		
320	-3.1559	5.8969	1.1362		
321	-3.0387	6.1242	0.5926		
322	-2.9572	6.2856	0.2116		
323	-3.1942	8.8273	0.7397		
324	-3.1203	8.8327	0.4601		
325	-3.0412	8.8135	0.1512		
326	-3.0784	0.2806	1.9823		
327	-2.8456	0.2371	1.0215		
328	-2.7270	0.2159	0.5470		
329	-3.0688	-0.9357	2.4591		
330	-2.8297	-0.8626	1.4353		
331	-2.6600	-0.8108	0.7199		
332	-3.0625	-2.3108	2.9982		
333	-2.8409	-1.7129	1.7997		
334	-2.5751	-2.2338	0.9749		
335	-3.0351	-4.2193	3.7476		
336	-2.7936	-4.1999	2.7384		
337	-2.4373	-4.1909	1.2950		
338	-2.7104	0.2139	0.5034		
339	-2.5709	0.2232	0.3259		
340	-2.3462	0.1814	0.0292		
341	-2.6397	-0.7979	0.6688		
342	-2.0655	-1.1450	0.0244		
343	-2.5690	-1.7998	0.8261		
344	-1.8487	-2.2430	0.0435		
345	-2.3984	-4.1098	1.1966		
346	-2.1487	-3.3774	0.7002		
347	-1.7309	-3.2011	0.1247		
348	-1.3785	-4.6735	0.0823		
349	-1.9533	-4.8836	0.8492		
350	-2.2301	-4.5372	1.0977		
351	-3.0403	-4.0863	5.0253		
352	-3.0322	-4.1998	6.5970		
353	-3.0553	-2.9502	6.6599		
354	-3.0608	-2.9555	4.9936		
355	-3.0611	-2.9540	3.3687		
356	-3.0839	-0.0434	2.1699		
357	-3.0892	-0.0435	3.6495		
358	-3.0920	-0.0444	4.9586		
359	-3.0922	-0.2531	6.6334		
360	-3.1110	2.1619	1.7418		
361	-3.1179	2.1666	3.6020		
362	-3.1125	2.1627	4.5170		
363	-3.1202	2.1681	6.7377		
364	-3.1447	4.2416	1.4675		
365	-3.1367	4.2306	2.7262		
366	-3.1423	4.2379	3.9211		
367	-3.1466	4.2435	4.9556		
368	-3.1522	4.2511	6.7061		
369	-3.1747	6.4247	1.1378		
370	-3.1810	6.4372	2.4422		
371	-3.1822	6.4396	3.6775		
372	-3.1859	6.4469	4.9127		
373	-3.1827	6.4404	6.6651		
374	-3.2081	8.8766	0.9275		
375	-3.2141	8.8932	2.4341		
376	-3.2145	8.7927	3.9335		
377	-3.2187	8.8037	4.9295		
378	-3.2176	8.8006	6.6164		
379	-3.1911	8.5586	6.8717		
380	-3.1030	8.3222	7.2218		
381	-3.0539	5.7502	7.2792		
382	-3.1465	5.9243	6.8990		
383	-3.1256	3.4475	6.8548		
384	-2.9954	3.3039	7.3676		
385	-3.0873	1.1396	6.8468		
386	-2.9499	1.0889	7.4223		
387	-3.0507	-1.2656	6.8769		
388	-2.9199	-1.2114	7.4196		
389	-2.8816	-3.9578	7.3995		
390	-3.0075	-4.1302	6.8643		
391	-0.7640	-3.8682	7.8991		
392	-0.7622	-3.8583	8.9083		
393	-0.7820	-2.2040	7.9248		
394	-0.7849	-1.7355	8.8647		
395	-0.8059	-0.0274	8.0127		
396	-0.8054	-0.0273	8.7383		
397	-0.8390	1.8655	7.9927		
398	-0.8322	1.7820	8.8090		
399	-0.8576	3.5624	8.8260		
400	-0.8622	3.5814	7.9345		
401	-0.8714	4.8341	7.8177		
402	-0.8709	4.8317	8.6339		
403	-0.8891	6.1876	8.4481		
404	-0.8968	6.4085	7.9448		
405	-0.9305	8.4447	8.6268		
406	-0.9323	8.6611	8.0470		
407	-2.7868	8.4549	7.5853		
408	-1.8679	8.1876	7.6112		
409	-1.7896	6.6154	7.6146		
410	-2.7613	6.6080	7.5926		
411	-2.8806	4.2891	7.5986		
