Point Id	Easting	Northing	Elevation	Code	
DEFAULT21					
526	1.7642	-7.5111	-0.0352		
527	0.7987	-7.6824	-0.0373		
528	-1.1935	-8.0785	-0.0425		
529	-2.2789	-7.3790	-0.0356		
530	-2.8698	-6.6107	-0.0376		
531	-0.0004	5.6058	1.4254		
532	-2.9244	5.4740	-0.0166		
533	-2.9743	5.5668	9.0591		
534	1.2091	5.9099	-0.0020		
535	1.2121	5.9888	9.0857		
536	3.0642	5.8520	-0.0025		
537	3.1755	6.0652	7.6203		
538	3.5716	-7.6361	1.5556		
539	3.5101	6.3188	1.5579		
540	-3.6962	5.5536	2.0195		
541	3.5540	5.5866	2.0240		
542	-3.3172	5.5977	2.1338		
543	-3.1785	-8.3595	2.1327		
544	3.5918	-7.4717	1.9849		
545	-3.3284	-7.1909	1.9872		
546	-1.1332	5.3731	9.0682		
547	-1.1289	5.3547	0.1946		
548	2.8548	5.3121	0.1928		
549	2.7608	-7.0791	0.1817		
550	2.2689	4.1179	0.1975		
551	-1.0503	-5.9581	0.1742		
552	-2.8953	5.3950	0.1650		
553	-1.6043	4.6464	0.2006		
554	-0.8213	4.4690	0.1995		
555	-1.4470	5.1896	0.2062		
556	-0.3972	4.9124	0.2005		
MO	0.0000	0.0000	0.0000		
